temp,hum,windspeed,cnt
0.2,0.47,0.3582,139
0.14,0.5,0.3284,139
0.16,0.5,0.3582,38
0.2,0.44,0.4478,37
0.2,0.44,0.4179,52
0.22,0.41,0.4478,83
0.22,0.41,0.3881,42
0.24,0.38,0.2985,60
0.24,0.38,0.3582,78
0.2,0.4,0.2836,162
0.14,0.69,0.1343,117
0.18,0.55,0.19399999999999998,44
0.18,0.51,0.2836,53
0.2,0.44,0.2537,61
0.22,0.37,0.3881,77
0.22,0.41,0.2836,64
0.24,0.38,0.1642,68
0.22,0.41,0.1045,90
0.22,0.41,0.1642,159
0.2,0.86,0.3284,3
0.2,0.86,0.2239,22
0.22,0.8,0.1642,28
0.22,0.87,0.1642,35
0.22,0.87,0.19399999999999998,61
0.22,0.82,0.19399999999999998,125
0.24,0.93,0.1045,109
0.26,0.93,0.1343,47
0.28,0.87,0.0896,52
0.3,0.81,0.0896,70
0.4,0.62,0.2836,78
0.4,0.58,0.2537,75
0.4,0.54,0.2836,82
0.38,0.58,0.3881,104
0.36,0.57,0.3284,197
0.24,0.52,0.2239,143
0.26,0.48,0.2985,57
0.28,0.45,0.1642,68
0.3,0.42,0.0,84
0.28,0.45,0.1045,98
0.3,0.45,0.1343,81
0.32,0.45,0.19399999999999998,70
0.3,0.49,0.1343,91
0.3,0.49,0.1045,215
0.2,0.51,0.3582,166
0.2,0.47,0.4627,63
0.22,0.41,0.4627,59
0.22,0.27,0.5821,78
0.2,0.21,0.5821,73
0.2,0.25,0.5224,62
0.16,0.26,0.4478,65
0.16,0.26,0.3582,97
0.14,0.28,0.3582,161
0.06,0.41,0.0,102
0.1,0.42,0.0,40
0.1,0.46,0.1343,46
0.12,0.42,0.19399999999999998,63
0.14,0.43,0.2239,60
0.14,0.46,0.2239,45
0.16,0.4,0.1642,57
0.16,0.47,0.2537,70
0.14,0.5,0.2537,184
0.2,0.64,0.0896,144
0.22,0.6,0.1045,55
0.24,0.6,0.1343,61
0.26,0.56,0.0896,106
0.26,0.56,0.1343,93
0.3,0.45,0.0,68
0.32,0.42,0.0,84
0.32,0.42,0.0,116
0.3,0.45,0.0,222
0.22,0.87,0.2985,58
0.22,0.93,0.2836,28
0.22,0.93,0.3284,41
0.22,0.93,0.3284,48
0.22,0.93,0.3284,47
0.22,0.93,0.3582,36
0.22,0.93,0.4627,43
0.22,0.93,0.3284,36
0.2,0.93,0.3582,26
0.22,0.55,0.19399999999999998,24
0.22,0.55,0.1045,84
0.18,0.86,0.0896,101
0.18,0.86,0.1045,49
0.18,0.93,0.1045,30
0.18,0.93,0.1045,29
0.18,0.93,0.1045,31
0.22,0.8,0.0,38
0.2,0.86,0.0,41
0.22,0.8,0.0,80
0.24,0.75,0.1343,149
0.16,0.59,0.2985,112
0.16,0.59,0.19399999999999998,69
0.16,0.59,0.19399999999999998,48
0.18,0.55,0.1045,68
0.16,0.59,0.0,54
0.18,0.55,0.1343,86
0.16,0.59,0.1343,44
0.16,0.56,0.19399999999999998,86
0.16,0.59,0.19399999999999998,161
0.16,0.93,0.0,116
0.16,0.93,0.0,47
0.18,0.86,0.0,51
0.2,0.86,0.0,55
0.2,0.86,0.0,52
0.22,0.8,0.0896,54
0.24,0.75,0.0,52
0.24,0.75,0.1343,64
0.24,0.75,0.0,176
0.24,0.93,0.0896,123
0.22,1.0,0.0,61
0.24,0.93,0.19399999999999998,52
0.24,0.93,0.2239,64
0.34,0.93,0.1642,75
0.38,0.82,0.3881,63
0.38,0.76,0.3284,76
0.36,0.71,0.2985,103
0.36,0.53,0.5224,190
0.16,0.47,0.2985,133
0.18,0.43,0.3284,52
0.18,0.43,0.4478,64
0.2,0.4,0.3582,69
0.2,0.4,0.4179,51
0.22,0.37,0.3881,47
0.22,0.37,0.3284,60
0.22,0.37,0.2537,78
0.2,0.4,0.19399999999999998,175
0.16,0.8,0.1343,127
0.2,0.51,0.1343,51
0.22,0.51,0.1642,64
0.24,0.48,0.1642,86
0.26,0.5,0.2239,82
0.28,0.45,0.1642,91
0.28,0.48,0.2537,90
0.3,0.42,0.2239,99
0.26,0.56,0.1343,205
0.22,0.8,0.0,118
0.24,0.75,0.1045,55
0.3,0.65,0.0896,47
0.32,0.62,0.0,66
0.36,0.57,0.0896,64
0.36,0.57,0.0896,60
0.38,0.54,0.0896,50
0.36,0.57,0.1343,114
0.32,0.7,0.1642,216
0.24,0.52,0.4925,135
0.22,0.47,0.5522,48
0.22,0.47,0.4627,50
0.24,0.38,0.4925,65
0.24,0.32,0.4478,50
0.22,0.37,0.4179,64
0.22,0.35,0.3881,51
0.22,0.35,0.5224,83
0.22,0.32,0.5821,176
0.12,0.39,0.1642,123
0.14,0.36,0.0,59
0.14,0.43,0.1642,41
0.18,0.4,0.2239,61
0.18,0.4,0.2537,69
0.2,0.34,0.2985,58
0.2,0.34,0.2836,64
0.2,0.37,0.2537,79
0.2,0.34,0.2537,166
0.12,0.42,0.3582,122
0.12,0.42,0.2985,35
0.14,0.39,0.3582,45
0.16,0.34,0.3881,69
0.18,0.29,0.2985,62
0.2,0.27,0.2836,48
0.2,0.25,0.2537,50
0.2,0.27,0.2985,80
0.18,0.26,0.19399999999999998,165
0.12,0.74,0.2239,140
0.14,0.69,0.19399999999999998,44
0.22,0.47,0.1343,64
0.22,0.47,0.1343,71
0.24,0.35,0.19399999999999998,110
0.3,0.26,0.2537,84
0.32,0.21,0.1642,74
0.3,0.28,0.19399999999999998,125
0.3,0.24,0.0,211
0.4,0.37,0.3881,130
0.44,0.33,0.2239,55
0.52,0.23,0.2537,53
0.56,0.22,0.4478,126
0.58,0.19,0.3881,120
0.6,0.15,0.4925,90
0.56,0.21,0.6567,90
0.52,0.27,0.4627,118
0.46,0.33,0.6119,243
0.22,0.29,0.4478,110
0.24,0.27,0.2836,52
0.26,0.25,0.2537,57
0.28,0.24,0.2537,71
0.32,0.21,0.2239,82
0.34,0.19,0.2239,79
0.34,0.19,0.1642,85
0.34,0.19,0.2537,98
0.32,0.22,0.2239,206
0.24,0.52,0.2836,124
0.26,0.41,0.3881,69
0.34,0.34,0.2985,66
0.38,0.32,0.3284,86
0.42,0.3,0.3582,93
0.46,0.28,0.4179,82
0.46,0.28,0.4179,117
0.46,0.31,0.3881,122
0.46,0.28,0.2836,255
0.36,0.57,0.19399999999999998,179
0.38,0.54,0.19399999999999998,88
0.44,0.44,0.2537,90
0.48,0.41,0.2239,101
0.54,0.34,0.2239,123
0.6,0.31,0.2239,81
0.6,0.28,0.2537,106
0.56,0.35,0.2985,146
0.58,0.32,0.2985,274
0.42,0.77,0.19399999999999998,169
0.44,0.72,0.2239,95
0.44,0.72,0.1642,113
0.5,0.59,0.19399999999999998,185
0.6,0.43,0.19399999999999998,176
0.66,0.36,0.2985,191
0.66,0.36,0.3284,172
0.66,0.36,0.2836,232
0.66,0.34,0.3582,327
0.14,0.74,0.2537,106
0.16,0.69,0.0,44
0.16,0.64,0.0,50
0.2,0.59,0.1045,55
0.22,0.55,0.1642,55
0.22,0.55,0.19399999999999998,58
0.24,0.48,0.19399999999999998,69
0.22,0.51,0.1642,86
0.22,0.51,0.2239,196
0.18,0.51,0.0896,139
0.2,0.4,0.0,51
0.24,0.41,0.1045,69
0.26,0.35,0.0896,67
0.3,0.28,0.0896,87
0.32,0.29,0.1045,78
0.34,0.25,0.0896,72
0.34,0.25,0.0,94
0.34,0.25,0.0896,222
0.24,0.75,0.2985,137
0.26,0.7,0.2836,57
0.32,0.57,0.3881,79
0.36,0.53,0.3582,95
0.38,0.54,0.2985,88
0.4,0.5,0.2985,69
0.4,0.54,0.3881,63
0.38,0.62,0.2836,71
0.36,0.66,0.19399999999999998,177
0.34,0.93,0.3582,114
0.42,0.94,0.3284,49
0.52,0.77,0.4478,59
0.54,0.6,0.4627,115
0.54,0.6,0.4627,83
0.56,0.56,0.6119,85
0.46,0.41,0.8059999999999999,55
0.32,0.49,0.4627,102
0.32,0.49,0.7463,189
0.42,0.82,0.2836,142
0.52,0.72,0.4925,92
0.56,0.64,0.2985,87
0.56,0.64,0.2985,36
0.46,0.94,0.2239,32
0.42,1.0,0.2985,25
0.42,1.0,0.2985,35
0.42,1.0,0.1343,42
0.4,1.0,0.2985,79
0.22,0.55,0.4179,124
0.24,0.52,0.2836,68
0.28,0.45,0.2537,56
0.3,0.39,0.1343,86
0.32,0.39,0.0,78
0.32,0.36,0.1343,79
0.34,0.34,0.0,64
0.34,0.34,0.0896,102
0.34,0.34,0.0896,242
0.28,0.56,0.2985,148
0.32,0.49,0.2836,76
0.34,0.53,0.3284,73
0.4,0.43,0.19399999999999998,82
0.5,0.25,0.0,125
0.52,0.23,0.2985,96
0.54,0.19,0.4179,110
0.54,0.19,0.3284,139
0.5,0.23,0.2836,268
0.16,0.37,0.2836,145
0.18,0.29,0.19399999999999998,56
0.2,0.29,0.0896,50
0.22,0.25,0.1343,72
0.22,0.25,0.0896,80
0.24,0.21,0.1045,78
0.24,0.23,0.0,68
0.26,0.23,0.0,71
0.26,0.22,0.0,202
0.22,0.6,0.1343,150
0.24,0.6,0.2537,66
0.28,0.52,0.2239,89
0.32,0.43,0.1642,97
0.34,0.42,0.2239,87
0.36,0.4,0.2836,95
0.36,0.4,0.2985,106
0.36,0.46,0.19399999999999998,118
0.36,0.5,0.2537,228
0.22,0.64,0.4627,134
0.24,0.6,0.2985,58
0.26,0.48,0.4478,60
0.3,0.42,0.4179,96
0.32,0.36,0.3881,70
0.32,0.36,0.4179,77
0.34,0.31,0.3881,96
0.34,0.31,0.3582,122
0.34,0.29,0.3582,233
0.26,0.41,0.1642,151
0.3,0.33,0.19399999999999998,71
0.36,0.25,0.1642,78
0.36,0.23,0.0,99
0.38,0.25,0.1045,98
0.38,0.2,0.0,72
0.36,0.18,0.0,112
0.38,0.27,0.1642,108
0.36,0.27,0.2239,248
0.26,0.87,0.2537,141
0.3,0.75,0.2537,57
0.32,0.76,0.3881,59
0.32,0.76,0.2537,98
0.32,0.76,0.3582,99
0.34,0.76,0.2985,71
0.36,0.71,0.2985,79
0.34,0.76,0.3284,112
0.34,0.76,0.2985,194
0.4,0.0,0.2239,24
0.4,0.0,0.1642,17
0.4,0.0,0.2537,11
0.42,0.0,0.2239,34
0.42,0.0,0.2239,12
0.44,0.0,0.2985,12
0.44,0.0,0.2239,14
0.42,0.0,0.2537,21
0.44,0.0,0.3881,111
0.3,0.61,0.2836,156
0.32,0.57,0.2985,78
0.32,0.57,0.2985,81
0.34,0.53,0.2537,111
0.36,0.53,0.2537,107
0.36,0.5,0.3582,89
0.34,0.53,0.2537,85
0.34,0.49,0.2985,113
0.34,0.49,0.2239,223
0.32,0.53,0.3284,140
0.34,0.42,0.2537,84
0.36,0.4,0.2537,71
0.38,0.37,0.0,94
0.38,0.36,0.3284,75
0.38,0.34,0.0,79
0.38,0.37,0.1642,101
0.4,0.35,0.1045,107
0.38,0.4,0.19399999999999998,271
0.3,0.7,0.0,157
0.32,0.66,0.19399999999999998,78
0.34,0.57,0.2239,78
0.36,0.5,0.2239,102
0.36,0.57,0.2836,97
0.38,0.46,0.2985,88
0.38,0.43,0.2836,90
0.38,0.46,0.3284,114
0.36,0.62,0.19399999999999998,217
0.32,0.93,0.1343,154
0.36,0.81,0.1642,68
0.36,0.81,0.1343,75
0.4,0.71,0.1045,88
0.4,0.76,0.1343,99
0.4,0.76,0.2239,100
0.4,0.76,0.2537,101
0.4,0.76,0.1642,151
0.44,0.54,0.2985,253
0.4,0.62,0.2537,185
0.44,0.54,0.3284,78
0.44,0.54,0.2836,86
0.5,0.45,0.2239,105
0.52,0.42,0.0896,111
0.5,0.45,0.1045,119
0.52,0.42,0.2537,125
0.5,0.48,0.2836,142
0.5,0.42,0.19399999999999998,313
0.46,0.63,0.2239,210
0.52,0.53,0.2836,117
0.54,0.52,0.2836,159
0.56,0.49,0.3582,195
0.64,0.41,0.2836,175
0.66,0.39,0.2537,174
0.68,0.39,0.3582,173
0.68,0.39,0.2836,204
0.7,0.37,0.3284,332
0.34,0.81,0.3284,127
0.38,0.76,0.3881,62
0.42,0.71,0.2985,79
0.44,0.77,0.2537,81
0.5,0.63,0.2239,112
0.54,0.64,0.2239,101
0.56,0.6,0.2239,107
0.54,0.64,0.2836,141
0.54,0.64,0.2537,272
0.4,0.58,0.4627,178
0.44,0.54,0.2985,124
0.44,0.51,0.3284,86
0.46,0.47,0.2537,121
0.5,0.45,0.2239,106
0.5,0.42,0.3284,101
0.5,0.42,0.2239,134
0.5,0.42,0.1045,165
0.5,0.42,0.1045,307
0.32,0.81,0.2537,182
0.34,0.81,0.2836,75
0.34,0.87,0.19399999999999998,71
0.34,0.87,0.2239,87
0.34,0.87,0.1343,108
0.36,0.87,0.1045,84
0.38,0.82,0.2239,85
0.4,0.76,0.2239,136
0.4,0.76,0.2239,273
0.26,0.93,0.2239,97
0.26,0.93,0.3284,65
0.3,0.81,0.2985,71
0.3,0.7,0.3284,94
0.32,0.7,0.2239,101
0.3,0.7,0.1343,83
0.3,0.7,0.2537,90
0.3,0.65,0.2239,84
0.3,0.7,0.2239,233
0.24,0.48,0.2985,166
0.26,0.48,0.0,68
0.3,0.45,0.2836,75
0.32,0.42,0.2537,145
0.32,0.39,0.19399999999999998,138
0.36,0.32,0.3284,133
0.34,0.36,0.2537,122
0.34,0.34,0.2985,150
0.32,0.36,0.3582,225
0.22,0.32,0.2239,121
0.24,0.3,0.19399999999999998,69
0.26,0.3,0.2836,57
0.26,0.25,0.0,79
0.3,0.24,0.2239,83
0.32,0.22,0.2239,80
0.32,0.24,0.2836,72
0.34,0.23,0.2239,132
0.34,0.23,0.2985,252
0.28,0.28,0.3881,172
0.3,0.24,0.2985,59
0.34,0.25,0.3881,81
0.34,0.25,0.1642,106
0.34,0.25,0.2985,104
0.36,0.25,0.2537,86
0.38,0.25,0.2239,87
0.38,0.22,0.1642,136
0.4,0.2,0.1343,299
0.32,0.45,0.2239,154
0.34,0.46,0.2239,64
0.34,0.46,0.2537,90
0.34,0.46,0.1642,80
0.36,0.46,0.2239,98
0.36,0.46,0.2985,80
0.28,0.81,0.2985,70
0.28,0.87,0.2537,36
0.26,0.93,0.1045,116
0.26,0.93,0.2537,132
0.26,0.93,0.2537,69
0.28,0.93,0.19399999999999998,58
0.28,0.93,0.19399999999999998,90
0.3,0.87,0.1343,68
0.3,0.87,0.1343,76
0.3,0.87,0.2985,65
0.3,0.87,0.2537,85
0.3,0.87,0.2537,168
0.32,0.7,0.3582,173
0.32,0.66,0.2836,75
0.32,0.61,0.3582,89
0.34,0.53,0.3582,95
0.36,0.5,0.3582,110
0.36,0.46,0.3582,87
0.34,0.46,0.4179,111
0.34,0.46,0.4179,167
0.34,0.46,0.3284,281
0.5,0.51,0.3881,158
0.54,0.45,0.3582,90
0.6,0.4,0.3881,124
0.64,0.36,0.4627,157
0.68,0.34,0.3284,139
0.74,0.27,0.4925,123
0.76,0.23,0.5522,143
0.76,0.22,0.5224,189
0.74,0.23,0.6119,366
0.36,0.87,0.4925,46
0.34,0.81,0.3881,28
0.32,0.81,0.4478,19
0.34,0.71,0.3881,38
0.36,0.63,0.4179,56
0.36,0.57,0.4925,76
0.4,0.46,0.4627,68
0.38,0.46,0.4179,130
0.42,0.38,0.4179,273
0.36,0.46,0.2537,165
0.4,0.37,0.3881,69
0.42,0.38,0.3881,93
0.44,0.41,0.2537,134
0.46,0.38,0.4925,112
0.5,0.34,0.4179,115
0.52,0.32,0.3284,117
0.54,0.28,0.4179,169
0.52,0.32,0.4478,356
0.4,0.66,0.1343,170
0.42,0.67,0.1045,95
0.46,0.55,0.0,122
0.46,0.55,0.0,153
0.52,0.48,0.0896,135
0.56,0.43,0.0896,157
0.6,0.38,0.1045,160
0.6,0.35,0.0,213
0.52,0.52,0.2836,343
0.36,0.76,0.19399999999999998,185
0.36,0.71,0.2836,73
0.4,0.62,0.3881,98
0.38,0.66,0.2239,80
0.36,0.76,0.2836,42
0.34,0.87,0.2239,15
0.34,0.87,0.2239,25
0.32,0.93,0.2537,60
0.32,0.93,0.2537,148
0.56,0.83,0.2836,165
0.56,0.83,0.2985,96
0.6,0.73,0.2985,104
0.6,0.73,0.3284,134
0.64,0.69,0.4179,139
0.72,0.54,0.3582,145
0.74,0.48,0.5224,141
0.74,0.48,0.5224,235
0.74,0.48,0.5224,452
0.46,0.94,0.4925,54
0.5,0.82,0.4179,40
0.52,0.77,0.3582,49
0.56,0.64,0.4627,92
0.54,0.68,0.2836,106
0.5,0.82,0.2836,44
0.48,0.77,0.5224,78
0.48,0.77,0.3881,99
0.44,0.77,0.2239,291
0.38,0.94,0.2239,65
0.4,0.87,0.19399999999999998,46
0.42,0.82,0.19399999999999998,61
0.42,0.82,0.2537,95
0.44,0.77,0.19399999999999998,61
0.42,0.77,0.2537,106
0.44,0.72,0.2836,81
0.46,0.67,0.2836,142
0.46,0.67,0.2985,309
0.46,0.51,0.1343,170
0.5,0.51,0.19399999999999998,89
0.52,0.45,0.1642,115
0.54,0.42,0.1343,145
0.56,0.37,0.2239,159
0.56,0.35,0.0896,137
0.6,0.31,0.0896,142
0.6,0.26,0.1045,202
0.6,0.28,0.0,388
0.5,0.55,0.1045,169
0.52,0.55,0.1045,109
0.54,0.52,0.0896,123
0.56,0.49,0.0896,184
0.56,0.49,0.1642,169
0.58,0.49,0.19399999999999998,144
0.6,0.43,0.19399999999999998,176
0.6,0.46,0.2836,205
0.58,0.49,0.2836,428
0.52,0.63,0.0896,162
0.5,0.72,0.2239,75
0.54,0.68,0.1642,72
0.54,0.64,0.0896,103
0.54,0.68,0.2239,129
0.54,0.64,0.19399999999999998,107
0.54,0.65,0.1642,127
0.56,0.52,0.2985,192
0.56,0.6,0.1045,411
0.66,0.61,0.2836,197
0.62,0.69,0.0896,131
0.62,0.69,0.0896,118
0.7,0.48,0.3881,145
0.7,0.48,0.3881,177
0.74,0.4,0.4627,148
0.76,0.35,0.3582,145
0.76,0.35,0.3582,255
0.74,0.37,0.4179,432
0.42,0.47,0.2836,196
0.42,0.44,0.3582,98
0.44,0.41,0.2836,133
0.46,0.38,0.1642,199
0.48,0.33,0.3284,177
0.5,0.34,0.3881,228
0.52,0.29,0.4179,235
0.52,0.27,0.3582,294
0.5,0.29,0.1642,481
0.34,0.61,0.2985,195
0.36,0.62,0.19399999999999998,136
0.34,0.66,0.19399999999999998,106
0.34,0.76,0.1343,80
0.34,0.87,0.19399999999999998,40
0.34,0.87,0.2537,36
0.34,0.87,0.19399999999999998,75
0.34,0.87,0.1343,62
0.32,0.93,0.2239,69
0.6,0.83,0.1343,174
0.64,0.73,0.2239,125
0.64,0.73,0.2239,147
0.66,0.74,0.2537,188
0.7,0.65,0.2239,203
0.72,0.54,0.2239,146
0.74,0.51,0.2239,175
0.7,0.54,0.3582,239
0.7,0.54,0.2985,521
0.64,0.73,0.3582,199
0.66,0.69,0.3582,120
0.68,0.65,0.3881,172
0.7,0.61,0.4179,186
0.74,0.51,0.4478,176
0.72,0.58,0.3284,155
0.7,0.61,0.3582,153
0.7,0.58,0.3881,291
0.68,0.61,0.3582,521
0.6,0.88,0.4179,181
0.62,0.83,0.2836,92
0.64,0.78,0.2836,156
0.66,0.78,0.3284,173
0.64,0.78,0.2985,150
0.68,0.74,0.2836,148
0.7,0.65,0.4925,138
0.7,0.7,0.3881,218
0.66,0.83,0.3881,521
0.62,0.88,0.3284,183
0.62,0.88,0.2836,54
0.62,0.83,0.2836,84
0.62,0.78,0.2537,107
0.62,0.83,0.2985,121
0.62,0.83,0.2985,142
0.66,0.69,0.3284,163
0.62,0.78,0.2537,270
0.64,0.47,0.3582,455
0.54,0.39,0.3284,230
0.56,0.4,0.2836,156
0.6,0.38,0.2239,157
0.56,0.37,0.2836,223
0.56,0.37,0.2985,308
0.6,0.35,0.3284,248
0.56,0.4,0.2985,252
0.54,0.42,0.3582,299
0.52,0.45,0.3881,508
0.5,0.77,0.2836,172
0.54,0.77,0.2239,108
0.58,0.73,0.2985,130
0.62,0.69,0.2239,187
0.62,0.69,0.19399999999999998,170
0.64,0.69,0.2239,181
0.66,0.61,0.19399999999999998,155
0.66,0.61,0.2239,269
0.66,0.65,0.19399999999999998,537
0.6,0.78,0.3582,186
0.64,0.69,0.3582,127
0.66,0.65,0.3284,140
0.68,0.61,0.4925,217
0.7,0.58,0.6119,194
0.7,0.58,0.5224,158
0.7,0.58,0.4478,154
0.72,0.54,0.4627,271
0.7,0.54,0.4627,517
0.34,0.93,0.3582,40
0.34,0.93,0.2836,31
0.4,0.82,0.3284,72
0.44,0.62,0.3582,124
0.46,0.59,0.4478,143
0.5,0.51,0.3881,107
0.48,0.51,0.4179,129
0.5,0.45,0.4627,195
0.4,0.71,0.2537,410
0.46,0.44,0.2836,184
0.5,0.39,0.2836,128
0.52,0.36,0.4478,148
0.52,0.34,0.3582,196
0.54,0.3,0.5821,192
0.54,0.28,0.4478,154
0.56,0.26,0.4925,147
0.58,0.24,0.4179,269
0.56,0.26,0.3881,533
0.46,0.67,0.2836,188
0.54,0.49,0.3284,127
0.54,0.49,0.3284,165
0.56,0.49,0.3582,246
0.58,0.4,0.3284,253
0.6,0.4,0.4478,213
0.6,0.38,0.3881,260
0.6,0.4,0.2537,344
0.58,0.4,0.3582,553
0.54,0.56,0.1642,178
0.56,0.52,0.19399999999999998,119
0.6,0.46,0.2239,125
0.6,0.43,0.19399999999999998,195
0.62,0.38,0.2836,174
0.62,0.41,0.2239,162
0.62,0.41,0.2239,199
0.64,0.38,0.2239,304
0.62,0.38,0.2537,598
0.52,0.48,0.1045,205
0.56,0.37,0.0896,127
0.56,0.43,0.1343,125
0.6,0.38,0.0,217
0.62,0.38,0.2537,202
0.62,0.33,0.0,176
0.64,0.33,0.0896,180
0.66,0.31,0.1045,327
0.64,0.33,0.0,611
0.52,0.72,0.1343,203
0.54,0.68,0.0896,154
0.56,0.64,0.0896,141
0.6,0.56,0.0,226
0.62,0.5,0.0,193
0.62,0.53,0.0896,177
0.64,0.41,0.0,179
0.66,0.39,0.0,289
0.64,0.47,0.1045,259
0.5,0.77,0.2836,212
0.54,0.68,0.2239,147
0.58,0.6,0.2239,179
0.58,0.6,0.2239,207
0.62,0.57,0.2985,218
0.62,0.61,0.2239,191
0.64,0.53,0.2537,217
0.64,0.57,0.2537,288
0.64,0.57,0.19399999999999998,594
0.5,0.88,0.19399999999999998,233
0.52,0.83,0.1343,130
0.52,0.83,0.1642,146
0.52,0.88,0.19399999999999998,223
0.52,0.88,0.3881,226
0.52,0.87,0.2836,190
0.52,0.88,0.1642,198
0.52,0.88,0.1343,300
0.52,0.88,0.1642,491
0.6,0.69,0.19399999999999998,194
0.62,0.65,0.0896,112
0.64,0.57,0.0,185
0.66,0.54,0.0896,209
0.68,0.51,0.0,214
0.68,0.51,0.0,193
0.72,0.51,0.0,165
0.6,0.78,0.2537,226
0.58,0.88,0.2239,274
0.54,0.88,0.2537,207
0.54,0.88,0.2537,104
0.56,0.83,0.4179,130
0.56,0.83,0.4179,153
0.56,0.88,0.3284,172
0.62,0.73,0.4627,184
0.62,0.69,0.4478,210
0.62,0.61,0.3284,290
0.62,0.65,0.4179,604
0.56,0.83,0.2537,202
0.54,0.88,0.2836,106
0.54,0.94,0.0896,23
0.56,0.94,0.2985,54
0.56,0.83,0.3284,122
0.58,0.78,0.2836,138
0.6,0.78,0.2537,167
0.6,0.73,0.19399999999999998,294
0.6,0.69,0.1343,565
0.54,0.88,0.0896,216
0.54,0.83,0.0,130
0.54,0.88,0.1642,164
0.58,0.78,0.1045,168
0.58,0.64,0.2537,183
0.54,0.73,0.19399999999999998,180
0.56,0.78,0.1642,188
0.58,0.64,0.19399999999999998,302
0.56,0.78,0.1642,547
0.54,0.68,0.2239,234
0.56,0.64,0.19399999999999998,148
0.58,0.6,0.19399999999999998,196
0.6,0.56,0.2537,255
0.6,0.56,0.2836,232
0.62,0.53,0.2239,197
0.6,0.56,0.19399999999999998,242
0.6,0.53,0.1642,330
0.62,0.53,0.0,554
0.6,0.88,0.2239,167
0.66,0.74,0.2985,121
0.68,0.69,0.3881,180
0.68,0.69,0.3881,204
0.74,0.58,0.4179,204
0.72,0.62,0.5224,187
0.72,0.62,0.4478,176
0.72,0.62,0.2985,279
0.72,0.7,0.3881,429
0.64,0.73,0.19399999999999998,138
0.7,0.61,0.3284,108
0.74,0.51,0.2239,175
0.76,0.45,0.3881,170
0.78,0.46,0.2537,190
0.78,0.46,0.2836,153
0.74,0.55,0.4179,188
0.66,0.69,0.19399999999999998,277
0.7,0.61,0.1045,548
0.68,0.65,0.0896,234
0.7,0.61,0.0896,135
0.74,0.51,0.0896,140
0.74,0.55,0.1343,210
0.74,0.55,0.1343,202
0.74,0.55,0.1642,168
0.76,0.52,0.2537,182
0.74,0.51,0.2836,299
0.74,0.51,0.2239,601
0.72,0.7,0.1642,216
0.7,0.74,0.2836,143
0.74,0.66,0.2239,160
0.78,0.59,0.3284,194
0.82,0.52,0.2836,197
0.82,0.52,0.2836,189
0.82,0.46,0.2836,141
0.8,0.49,0.3582,291
0.8,0.46,0.2836,494
0.7,0.65,0.2836,227
0.72,0.54,0.3881,153
0.74,0.55,0.3284,166
0.76,0.55,0.2985,243
0.74,0.58,0.19399999999999998,209
0.76,0.55,0.2537,239
0.78,0.49,0.2836,356
0.76,0.55,0.3881,419
0.74,0.58,0.3881,491
0.8,0.55,0.1343,175
0.82,0.56,0.1343,109
0.86,0.47,0.0,106
0.86,0.47,0.1343,162
0.9,0.39,0.1642,147
0.9,0.37,0.0,140
0.9,0.37,0.1642,175
0.9,0.39,0.1343,249
